City;County Code;Tow Company;Number
Bjelovar;BJ;VUČNA SLUŽBA As mane;095 815 4444
Bjelovar;BJ;Vučna služba Krosi j.d.o.o.;091 766 8221
Bjelovar;BJ;Auto Kooperant;098 943 2285
Bjelovar;BJ;MB TRANS D.O.O., Plavnice Stare;098 962 6661
Imotski;BJ;Vučna služba i vulkanizer Imotski/IVAN;091 945 1041
Garešnica;BJ;Vučna služba Borna;091 549 2592
Čazma;BJ;Mel-Mar Vučna služba - Car detailing;099 878 4342
Beli Manastir;BM;Vučna Služba Werner;091 168 0888
Čakovec;ČK;VUČNA SLUŽBA, VLADO PAVLIC;040 364 411
Prelog;ČK;ŠTEFAN TIM d.o.o.;098 577 360
Mursko Središće;ČK;Vučna služba Leško, Vratišinec;099 446 7087
Daruvar;DA;Vučna Služba Sadovek;091 928 5313
Daruvar;DA;OBRT ZA POMOĆ NA CESTI I VUČU VOZILA;043 335 758
Daruvar;DA;Vučna služba Kral;098 710 173
Grubišno Polje;DA;VUČNA SLUŽBA FILIPČIĆ vl. SENKA FILIPČIĆ;098 220 222
Delnice;DE;Vučna služba POLIĆ-24;098 675 504
Đakovo;DJ;Vučna služba Ro-Ni;095 564 2225
Đakovo;DJ;Vučna služba Birkić;091 904 9681
Đakovo;DJ;Vučna služba Kovačević - Mamba;097 648 8570
Đakovo;DJ;Vučna Služba Auto-Lora;091 570 2937
Dubrovnik;DU;Vučna služba Đano;091 179 9841
Dubrovnik;DU;Vučna služba Klafurić;099 3164 650
Dubrovnik;DU;VUČNA SLUŽBA DUBROVNIK;091 9458595
Metković;DU;AsGrubišić;098 951 2975
Metković;DU;Vučna služba VIKTOR;099 460 9015
Ploče;DU;Vučna služba Catano;098 133 9191
Orebić, Korčula;DU;Vučna Služba Bukola Recovery;098 195 0459
Orebić, Korčula;DU;Round o clock;091 948 9237
Opuzen;DU;Vučna služba VIKTOR, Krvavac;099 460 9015
Gospić;GS;Vučna služba “Božić”;099 676 3033
Otočac;GS;"Auto-vuča ""Pajko""";098 245 602
Otočac;GS;Hrvoje Commerce;099 789 6996
Senj;GS;Auto Čara;099 779 0321
Novalja;GS;Vučna služba Tome;098 160 7984, 098 208 228
Novalja;GS;Vučna služba Zmaj;091 576 0808
Imotski;IM;Vučna služba i vulkanizer Imotski/IVAN;091 945 1041
Karlovac-Duga Resa-Ozalj;KA;Vučna služba Leon Karlovac;098 916 7192
Karlovac-Duga Resa-Ozalj;KA;Vučna služba IL ŠEKI;095 318 7080
Karlovac-Duga Resa-Ozalj;KA;Vučna služba LEON;091 596 0365
Karlovac-Duga Resa-Ozalj;KA;AB, obrt za vuču vozila;098 950 3134
Karlovac-Duga Resa-Ozalj;KA;LIPA vučna služba;098 869 937
Slunj;KA;"Vučna Služba"" Krizmanić"", Rakovica";099 646 8164
Koprivnica;KC;Vučna služba Koprivnica;098 178 9662
Krapina;KR;Auto Čavelj d.o.o.;098 918 3029
Krapina;KR;Vučna služba AS Šafranko;099 647 3730
Krapina;KR;Vučna služba Venta-Truck;091 614 9889
Zabok;KR;Vučna služba Sprint;091 613 3689
Zlatar;KR;VUČNA SLUŽBA;099 785 5856
Oroslavje;KR;mikas;099 615 5555
Donja Stubica;KR;Vučna služba MARIO;098 604 962
Kutina;KT;Vučna služba - N-BIRAČ;099 666 9222
Novska;KT;VUČNA SLUŽBA AUTO-GALUŠIĆ;099 685 5221
Križevci;KŽ;Elvis - vučna služba 0/24;091 738 1493
Križevci;KŽ;Vučna služba Pepelko;091 502 7779
Križevci;KŽ;A JE TO USLUŽNI OBRT, VL. ZVONIMIR RAČIĆ;098 876 639
Križevci;KŽ;Vučna služba D-Škrlec;091 152 4764
Križevci;KŽ;MRVA - Vučna služba;091 908 7733
Makarska;MA;Auto Vukadin;098 438 039
Vrgorac;MA;Vučna služba i pomoć na cesti Auto Tonto Vrgorac;091 509 7756
Vrgorac;MA;Vučna služba i autolimarija Vukšić;091 723 7187
Vrgorac;MA;Vučna Služba Martinac;091 543 7305
Vrgorac;MA;Vučna služba MIŠEL Pomoc na cesti;095 895 4579
Našice;NA;Vučna služba Mata;091 781 0727
Našice;NA;Vučna Služba Lijić;091 298 7983
Donji Miholjac;NA;Vucna sluzba Ivic;095 517 3687
Nova Gradiška;NG;AutoKlarić Vučna služba - Autoservis;091 254 8642
Ogulin;OG;Auto Assist Ogulin;091 794 8319
Ogulin;OG;Vučna Služba Turković;091 533 0628
Ogulin;OG;BOBI;098 970 0162
Osijek;OS;Vučna služba NIKOLA;091 528 0552
Osijek;OS;CAR TOWING SERVICE NIKOLIĆ;095 328 4455
Osijek;OS;VUČNA SLUŽBA BISTROVIĆ;098 878 910
